grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
11849,8.920620581,0.670040498,1.492447103,,,,,0
11850,17.38949085,0.660826363,1.513256818,,,,,0
11851,22.03230756,0.502148141,1.991444196,,,,,0
11852,9.566299822,0.741040226,1.349454408,,,,,0
11853,7.463526652,0.991975285,1.008089632,,,,,0
11854,6.307831305,0.644989233,1.550413479,,,,,0
11855,15.70637329,0.656865796,1.522380989,,,,,0
11856,19.44204181,0.808907238,1.236235693,,,,,0
11857,17.38949085,0.387493854,2.580686094,,,,,0
11858,14.10473959,0.491210853,2.035785638,,,,,0
11859,11.96826841,0.559039797,1.788781417,,,,,0
11860,11.58822606,0.628251433,1.591719409,,,,,0
11861,31.0304271,0.498369651,2.006542731,,,,,0
11862,3.989422804,0.553083809,1.80804425,,,,,0
11863,17.84124116,0.327999635,3.04878388,,,,,0
11864,15.95769122,0.735165036,1.360238791,,,,,0
11865,8.462843753,0.999999987,1.000000013,,,,,0
11866,37.2108587,0.621619591,1.608700908,,,,,0
11867,22.91748922,0.669452693,1.493757527,,,,,0
11868,7.595634725,0.676987818,1.477131454,,,,,0
11869,19.94711402,0.806519479,1.239895658,,,,,0
11870,18.28183198,0.598762872,1.670110233,,,,,0
11871,38.29118584,0.562277186,1.77848226,,,,,0
11872,13.96297981,0.404194548,2.474056132,,,,,0
11873,20.77757886,0.762749709,1.311046059,,,,,0
11874,27.20423653,0.514825727,1.942404873,,,,,0
11875,31.57963538,0.736255717,1.358223748,,,,,0
11876,23.76972966,0.53126302,1.882306808,,,,,0
11877,14.10473959,0.858461759,1.164874253,,,,,0
11878,14.65807536,0.762744496,1.311055019,,,,,0
11879,22.96085253,0.744960179,1.342353629,,,,,0
11880,7.463526652,0.991975285,1.008089632,,,,,0
11881,20.72964897,0.704125691,1.420200986,,,,,0
11882,35.12051835,0.6935229,1.441913453,,,,,0
11883,3.989422804,0.553083809,1.80804425,,,,,0
11884,33.25848545,0.572412508,1.746991873,,,,,0
11885,7.463526652,0.707078241,1.414270646,,,,,0
11886,35.84935377,0.778083693,1.285208789,,,,,0
11887,6.909882989,0.696363578,1.436031451,,,,,0
11888,26.00785474,0.69581299,1.437167766,,,,,0
11889,50.38374085,0.678285159,1.474306177,,,,,0
11890,14.24508871,0.649730894,1.53909874,,,,,0
11891,19.94711402,0.786396493,1.271623168,,,,,0
11892,47.32975622,0.681814629,1.466674309,,,,,0
11893,37.79438601,0.784248371,1.27510625,,,,,0
11894,18.28183198,0.863228352,1.158442024,,,,,0
11895,20.77757886,0.786068906,1.272153106,,,,,0
11896,12.2962269,0.616730089,1.621454859,,,,,0
11897,10.55502061,0.348402242,2.870245594,,,,,0
11898,13.81976598,0.895142228,1.117140907,,,,,0
11899,31.75916327,0.65669077,1.522786744,,,,,0
11900,8.920620581,0.464265441,2.153940206,,,,,0
11901,53.44933328,0.421584096,2.372005987,,,,,0
11902,29.92067103,0.94746519,1.055447747,,,,,0
11903,13.60211827,0.69007213,1.449123876,,,,,0
11904,41.3872574,0.712902953,1.40271547,,,,,0
11905,25.70005863,0.604312916,1.654771847,,,,,0
11906,22.43496172,0.648803606,1.541298462,,,,,0
11907,23.811541,0.704066294,1.420320798,,,,,0
11908,16.44881161,0.584111619,1.712001556,,,,,0
11909,49.26573741,0.468398171,2.134935749,,,,,0
11910,25.70005863,0.703416657,1.421632528,,,,,0
11911,24.14342517,0.797401311,1.254073685,,,,,0
11912,18.06287998,0.825714191,1.211072803,,,,,0
11913,14.38406848,0.780192934,1.281734243,,,,,0
11914,13.81976598,0.626880369,1.595200695,,,,,0
11915,20.53681083,0.487403391,2.051688641,,,,,0
11916,7.463526652,0.991975285,1.008089632,,,,,0
11917,40.48821945,0.958444863,1.043356836,,,,,0
11918,41.45929794,0.636623622,1.570786829,,,,,0
11919,3.989422804,0.553083809,1.80804425,,,,,0
11920,28.97485677,0.857691905,1.16591983,,,,,0
11921,14.65807536,0.626432452,1.596341308,,,,,0
11922,24.5924538,0.57717713,1.732570381,,,,,0
11923,38.80726284,0.477758878,2.093106056,,,,,0
11924,13.00392737,0.908623324,1.100566069,,,,,0
11925,60.53546535,0.472013681,2.11858266,,,,,0
11926,17.15915629,0.726459923,1.376538428,,,,,0
11927,28.42026277,0.985252185,1.014968569,,,,,0
11928,10.92548431,0.734045688,1.362313022,,,,,0
11929,21.6681121,0.909291483,1.099757359,,,,,0
11930,9.772050238,0.769905714,1.298860343,,,,,0
11931,10.26840542,0.74887318,1.335339584,,,,,0
11932,10.17107236,0.777994973,1.285355349,,,,,0
11933,9.461746958,0.633552602,1.578400905,,,,,0
11934,11.96826841,0.751894335,1.329974111,,,,,0
11935,9.356025796,0.740845483,1.349809135,,,,,0
11936,18.06287998,0.706223982,1.415981368,,,,,0
11937,9.97355701,0.510703423,1.958083605,,,,,0
11938,24.95383167,0.907243662,1.10223972,,,,,0
11939,5.641895835,0.683024099,1.464077185,,,,,0
11940,12.77238492,0.796498498,1.255495148,,,,,0
11941,18.92349392,0.707300928,1.413825376,,,,,0
11942,20.82539843,0.869565924,1.149999065,,,,,0
11943,27.20423653,0.810155765,1.234330536,,,,,0
11944,30.18546089,0.809821454,1.234840093,,,,,0
11945,11.01615378,0.648975991,1.540889054,,,,,0
11946,11.63106623,0.871064076,1.14802117,,,,,0
11947,17.38949085,0.91440057,1.093612617,,,,,0
11948,15.45096808,0.960150761,1.041503106,,,,,0
11949,14.10473959,0.745022608,1.342241148,,,,,0
11950,16.08187746,0.731636764,1.366798456,,,,,0
11951,22.8640201,0.433886084,2.304752416,,,,,0
11952,14.38406848,0.683490304,1.463078545,,,,,0
11953,32.77645292,0.490791527,2.037524988,,,,,0
11954,22.91748922,0.944956845,1.058249385,,,,,0
11955,13.38930608,0.264635272,3.778785765,,,,,0
11956,26.76186174,0.637939413,1.567546981,,,,,0
11957,21.48369928,0.632626731,1.580710948,,,,,0
11958,32.28722468,0.720107212,1.388682107,,,,,0
11959,46.18090772,0.679523523,1.471619402,,,,,0
11960,31.91538243,0.795909299,1.256424571,,,,,0
